Order_ID,Order_Timestamp,Agent_Name,Rating,Delivery_Time_Minutes,Location,Order_Type,Customer_Feedback_Type,Price_Range,Discount_Applied,Product_Availability,Customer_Service_Rating,Order_Accuracy
7118f9b7-28f2-4b48-8bda-cf18cba529a4,2025-01-01 00:35:59,JioMart,2,80,Delhi,Essentials,Positive,Low,No,In Stock,5,Correct
c1ba29c8-62c8-4f37-8275-489a69ca88ad,2025-01-01 01:11:16,Blinkit,2,16,Mumbai,Essentials,Neutral,Low,No,In Stock,5,Correct
e6e8dd56-c8c4-4f5e-aa86-d7f8c79ba80b,2025-01-01 01:17:04,JioMart,2,36,Delhi,Food,Negative,Medium,Yes,In Stock,3,Correct
eced9aef-e108-4d1b-b4cf-08829ad7faa7,2025-01-01 01:42:51,JioMart,2,15,Hyderabad,Food,Positive,Medium,No,In Stock,1,Correct
c0c9f5eb-dc2b-45d9-b435-9e8bf5ea59b8,2025-01-01 04:08:20,Blinkit,1,34,Chennai,Grocery,Neutral,Low,Yes,In Stock,5,Correct
e61c69c3-8952-4c4f-881d-494e52798a1d,2025-01-01 05:02:04,Blinkit,4,49,Pune,Essentials,Neutral,High,No,Out of Stock,3,Correct
eab5bb3a-3a7f-41b4-801f-880b2b78338c,2025-01-01 06:03:22,Swiggy Instamart,2,64,Chennai,Essentials,Positive,Low,Yes,In Stock,5,Correct
e3276044-4245-4ab0-bbf7-f352972b3110,2025-01-01 06:53:55,Swiggy Instamart,5,82,Bangalore,Essentials,Neutral,High,No,In Stock,1,Correct
b56f667d-2914-4003-9b07-8f3e1722522b,2025-01-01 07:09:56,Zepto,4,51,Mumbai,Grocery,Positive,Medium,Yes,In Stock,5,Correct
d832818b-5a6a-4988-81a0-740c9b8c54e6,2025-01-01 08:15:08,Swiggy Instamart,2,46,Delhi,Essentials,Negative,High,No,Out of Stock,5,Correct
ef467926-3756-4abd-9a68-aeff705858cc,2025-01-01 08:41:57,Swiggy Instamart,4,59,Pune,Essentials,Neutral,High,No,In Stock,1,Correct
043a0595-dccf-488a-a6b8-3870224b9c1f,2025-01-01 08:55:17,Zepto,4,30,Delhi,Grocery,Positive,High,No,In Stock,1,Correct
6804dacc-26d1-477c-acd0-8a6b69aa186a,2025-01-01 09:05:03,Swiggy Instamart,3,14,Bangalore,Food,Neutral,High,Yes,Out of Stock,4,Correct
08d319ac-8dd7-4425-ac32-c234cde78c3b,2025-01-01 09:10:37,Blinkit,1,40,Bangalore,Grocery,Neutral,High,Yes,In Stock,1,Correct
bdf3ecea-659c-4ef4-9ccc-9612b75095ca,2025-01-01 09:16:41,Zepto,1,30,Pune,Essentials,Positive,High,No,In Stock,3,Correct
c811d8cc-e566-4de1-8c4c-16633a091a51,2025-01-01 09:19:20,Blinkit,4,22,Hyderabad,Food,Positive,High,Yes,In Stock,4,Correct
500ce324-c20b-47f8-9b2b-db37722191a0,2025-01-01 09:26:14,JioMart,1,78,Chennai,Food,Positive,Low,No,In Stock,2,Correct
d5a59045-fd27-42a6-b20f-b54c69ad2769,2025-01-01 09:36:55,JioMart,4,86,Bangalore,Essentials,Negative,Low,Yes,Out of Stock,1,Correct
e4b4f64b-06a5-43bd-b1ff-26697176104d,2025-01-01 09:41:25,Zepto,2,88,Delhi,Essentials,Positive,Low,Yes,In Stock,5,Correct
4f70871c-8ed0-417d-8c22-7ddda4f6e472,2025-01-01 09:55:13,Zepto,4,21,Hyderabad,Food,Positive,Medium,Yes,In Stock,4,Correct
59f9f906-4fde-4031-94f2-ed4627543217,2025-01-01 10:19:50,Swiggy Instamart,2,85,Chennai,Grocery,Neutral,High,Yes,In Stock,4,Correct
ce5ac131-3c5d-4707-9c42-5e24267bfe15,2025-01-01 11:41:17,JioMart,2,33,Chennai,Essentials,Negative,Low,No,In Stock,1,Correct
d4898816-2e23-42a4-8964-6a303daddeb3,2025-01-01 11:57:23,JioMart,2,60,Chennai,Food,Neutral,Medium,No,In Stock,3,Correct
44ecd939-36ba-4a6f-8b71-13fc8056680f,2025-01-01 13:02:13,Zepto,1,24,Hyderabad,Essentials,Positive,Low,No,In Stock,3,Correct
da08c173-3f2c-4a7f-9a0e-5a0849a9c128,2025-01-01 13:30:53,Swiggy Instamart,3,45,Pune,Grocery,Neutral,Medium,No,In Stock,5,Correct
aab50a76-46a0-4589-86dc-ac1e7bd2ef22,2025-01-01 13:55:28,Swiggy Instamart,4,86,Pune,Food,Positive,High,No,In Stock,5,Correct
37f420e3-2e34-41d5-89dd-d84f196e0f18,2025-01-01 16:58:48,Swiggy Instamart,2,33,Delhi,Grocery,Positive,Low,No,In Stock,2,Correct
4585fa4f-af48-4994-916c-feff9f4be7aa,2025-01-01 17:23:10,Zepto,1,69,Bangalore,Food,Positive,Low,Yes,In Stock,4,Correct
d3227e36-b2f4-4ce1-a814-57ab6f8695ea,2025-01-01 17:42:24,JioMart,1,70,Delhi,Essentials,Positive,Medium,Yes,In Stock,2,Correct
5b2f0bb7-87b3-49e2-844a-bd45e76a04de,2025-01-01 17:56:34,Zepto,2,54,Pune,Grocery,Neutral,Low,No,Out of Stock,1,Correct
39540ab4-1156-4688-9e3c-71df1e0caeae,2025-01-01 18:28:40,Zepto,3,24,Pune,Essentials,Positive,Low,Yes,In Stock,1,Correct
8706d422-7cfc-4c5a-8007-e71a2a3e91bd,2025-01-01 18:30:30,Zepto,1,19,Mumbai,Grocery,Negative,Medium,No,Out of Stock,1,Correct
36a4d1dd-16a0-4080-9e8b-e98538997d21,2025-01-01 19:02:55,JioMart,4,81,Pune,Essentials,Negative,Low,No,In Stock,1,Correct
ac1ffa06-0b24-44fe-a4c6-76d849eb9bf8,2025-01-01 20:50:07,Blinkit,5,77,Hyderabad,Food,Positive,Medium,No,In Stock,1,Correct
d0aaa633-8838-427f-9a72-aaeef7239076,2025-01-01 20:53:39,Swiggy Instamart,3,17,Chennai,Grocery,Positive,Low,No,In Stock,2,Correct
2866225f-eb84-4b28-9e00-590a8aaf1abb,2025-01-01 21:31:44,Zepto,1,10,Hyderabad,Grocery,Negative,High,No,In Stock,3,Correct
4c1af5e3-9bd5-4356-af8a-a1138bd4360e,2025-01-01 22:03:37,Zepto,5,63,Hyderabad,Essentials,Positive,High,No,In Stock,5,Correct
93bdf81f-adee-44e9-8632-ef351a6212a0,2025-01-01 22:05:14,JioMart,4,40,Pune,Essentials,Positive,Medium,Yes,In Stock,4,Correct
ef4281f6-258e-417e-ab21-d63a520ac5f4,2025-01-01 22:26:13,Blinkit,1,55,Pune,Essentials,Positive,High,Yes,Out of Stock,2,Correct
77f98b31-fcf3-42c6-8749-b23c2f02179b,2025-01-01 22:53:03,Zepto,1,44,Chennai,Food,Positive,High,No,In Stock,2,Correct
1ef8c538-cf2c-4ec4-93ba-3eb3257299ef,2025-01-02 00:13:14,Zepto,4,62,Chennai,Food,Negative,Medium,No,In Stock,2,Correct
cfebb069-486c-4b5e-971b-fc75742742b0,2025-01-02 02:10:36,JioMart,2,55,Chennai,Essentials,Neutral,Low,Yes,In Stock,3,Correct
7b6cc163-24ed-4a2e-a24e-a8eeb98105aa,2025-01-02 02:38:09,JioMart,1,71,Delhi,Essentials,Positive,Low,No,In Stock,5,Correct
144e6e30-6a3d-4a4c-b556-a0e041ad98d5,2025-01-02 02:41:46,Zepto,2,23,Hyderabad,Essentials,Positive,Low,Yes,In Stock,5,Correct
b26a7dbb-aa22-4b11-96d6-6063b5b6f4cf,2025-01-02 03:57:46,Blinkit,3,26,Delhi,Grocery,Positive,Low,Yes,In Stock,1,Correct
1d837720-fe5b-47d9-a38e-321bc7573680,2025-01-02 04:49:45,Blinkit,2,36,Mumbai,Grocery,Neutral,High,No,In Stock,2,Correct
77beb331-3b52-46d0-b1ca-3bb7486150fe,2025-01-02 05:01:06,Blinkit,2,49,Mumbai,Essentials,Positive,Low,No,In Stock,5,Correct
e685e76e-b388-4491-87a0-20a00879f5f5,2025-01-02 05:10:54,JioMart,3,41,Bangalore,Food,Positive,Low,No,In Stock,2,Correct
afc9ba67-10ed-45a9-9e90-6a7a7e601753,2025-01-02 05:20:27,JioMart,4,64,Mumbai,Food,Neutral,Medium,No,In Stock,3,Correct
4c5343c5-137e-40d6-8a82-9600b1487cc3,2025-01-02 05:33:27,Blinkit,2,50,Chennai,Essentials,Positive,High,Yes,In Stock,5,Incorrect
5a60687d-7963-47d3-8fe2-826f903fe1bd,2025-01-02 06:05:07,Blinkit,4,77,Bangalore,Food,Positive,Low,No,In Stock,2,Correct
1d8d3301-589b-4e93-8674-c7985980cfc4,2025-01-02 06:08:02,JioMart,3,16,Bangalore,Food,Neutral,Low,No,In Stock,2,Correct
9cc346cc-9269-411d-8be8-ded1febda330,2025-01-02 07:45:48,Swiggy Instamart,1,50,Chennai,Essentials,Positive,Low,Yes,In Stock,3,Correct
17176041-0efb-4bb2-887a-06ee93c163bc,2025-01-02 08:35:49,Zepto,5,68,Mumbai,Essentials,Positive,Low,Yes,In Stock,1,Correct
54c37696-068e-4d77-9d4f-1c591b19c429,2025-01-02 09:30:31,Blinkit,4,25,Hyderabad,Food,Positive,Medium,Yes,In Stock,5,Correct
fa89db03-41dd-4ff7-9b7e-18e5317653a0,2025-01-02 09:35:59,Blinkit,4,70,Delhi,Grocery,Positive,High,Yes,In Stock,5,Correct
f2c5c523-47df-4c56-a2ae-485be513692b,2025-01-02 09:43:51,JioMart,1,71,Mumbai,Grocery,Positive,Low,No,In Stock,3,Correct
9fa954ed-12f1-42c8-b3cf-c5d1eee18ff4,2025-01-02 09:58:40,Blinkit,4,26,Delhi,Grocery,Positive,Low,No,In Stock,5,Correct
4d28b9a9-3e6b-4849-9686-80fa52bf45bb,2025-01-02 10:30:16,Swiggy Instamart,5,84,Delhi,Grocery,Positive,Low,No,In Stock,3,Correct
c2d30fb4-7014-4a26-a1d6-a93774f5f937,2025-01-02 11:56:37,Zepto,5,40,Hyderabad,Essentials,Positive,Medium,No,In Stock,2,Correct
a90b58f0-cd15-4edc-bfe7-ec96753a7ef1,2025-01-02 12:08:09,Swiggy Instamart,5,18,Hyderabad,Essentials,Neutral,High,No,In Stock,2,Correct
075cc031-9479-4349-86a0-2db6f70e611f,2025-01-02 12:15:04,Swiggy Instamart,2,89,Hyderabad,Food,Positive,Medium,Yes,Out of Stock,3,Correct
fa4d460d-f874-4e54-bb99-9d381a673306,2025-01-02 12:21:07,Blinkit,2,53,Chennai,Grocery,Positive,Medium,No,In Stock,2,Correct
fa5c83d3-7fa1-4b8c-a3e9-2a1d2bbc9fa7,2025-01-02 12:24:24,Blinkit,1,37,Chennai,Essentials,Positive,Low,No,In Stock,2,Correct
c09a0853-72f1-42f6-af66-2f941c53cbc1,2025-01-02 13:48:14,Zepto,3,32,Chennai,Food,Positive,Low,No,In Stock,4,Correct
3d7a56a7-50fd-4399-bfa2-b807a7b23b34,2025-01-02 14:46:15,Blinkit,5,76,Hyderabad,Essentials,Negative,Medium,No,In Stock,2,Correct
287d318d-5fdb-4eeb-b01e-eb3ee5fbf2c3,2025-01-02 14:59:48,Swiggy Instamart,1,79,Chennai,Essentials,Positive,High,Yes,In Stock,2,Correct
480cd5e0-bdc6-44b6-a02b-3da0bd67bc58,2025-01-02 15:11:27,Swiggy Instamart,1,24,Pune,Grocery,Negative,Medium,No,Out of Stock,5,Correct
45fe3eee-af46-4fdf-adb4-a8feafdb0d7a,2025-01-02 15:35:15,Zepto,4,66,Mumbai,Essentials,Positive,High,Yes,Out of Stock,4,Correct
1ee5b317-2654-497f-be4b-40eb67f630ab,2025-01-02 17:54:51,JioMart,2,60,Hyderabad,Food,Positive,Medium,Yes,In Stock,5,Correct
931d97cd-0f4e-46fc-9e7e-38219221d546,2025-01-02 19:39:49,Swiggy Instamart,5,40,Chennai,Grocery,Neutral,High,Yes,In Stock,5,Correct
f2e7e3da-a826-48bd-a793-0cc8acfabfd5,2025-01-02 20:14:56,JioMart,2,81,Pune,Grocery,Positive,Low,Yes,In Stock,1,Correct
196d58df-890d-45b4-8be6-ac8a90f684a2,2025-01-02 20:32:44,Swiggy Instamart,1,89,Mumbai,Essentials,Positive,Medium,No,In Stock,5,Correct
5dfe9261-82fd-4a30-a79e-55034eac49f7,2025-01-02 22:18:21,Zepto,3,54,Hyderabad,Grocery,Positive,High,Yes,In Stock,5,Correct
dfba3e44-6d6a-435c-9283-eab6f8e324a5,2025-01-02 23:18:15,Zepto,3,78,Chennai,Essentials,Positive,Medium,No,In Stock,1,Correct
1745a7ab-f2aa-43d3-93ab-0f2d5d9a0b58,2025-01-02 23:55:26,Blinkit,4,24,Mumbai,Grocery,Negative,Low,Yes,In Stock,4,Correct
d7d0a85f-6a7d-48c3-b753-3b51c762d38e,2025-01-03 02:28:14,Swiggy Instamart,5,50,Chennai,Grocery,Positive,High,Yes,In Stock,4,Correct
2ead90f3-5476-4a4f-834a-543ac6541bec,2025-01-03 03:47:55,Blinkit,1,37,Bangalore,Food,Positive,High,No,In Stock,1,Correct
c367c0bc-9281-477c-a3a7-581f8a413301,2025-01-03 04:46:31,Blinkit,4,35,Mumbai,Grocery,Positive,Medium,No,In Stock,4,Incorrect
fdade54b-a406-4672-a2eb-be83e9f2baaa,2025-01-03 05:51:53,Swiggy Instamart,3,90,Bangalore,Food,Neutral,Medium,Yes,In Stock,3,Correct
578b3594-f865-4efd-bc00-9e2ebdbb23db,2025-01-03 07:03:01,Zepto,3,70,Pune,Grocery,Positive,Medium,No,In Stock,2,Correct
f6add8f2-5bd4-46dd-b80c-651970d5310a,2025-01-03 07:23:02,JioMart,1,82,Bangalore,Essentials,Positive,Medium,No,In Stock,1,Correct
67b09d3d-48d6-4448-87f2-9466acd5a95f,2025-01-03 08:55:13,JioMart,2,74,Delhi,Food,Positive,Low,Yes,In Stock,3,Correct
064003d7-0ed0-43b5-bdca-65c9ef28bd11,2025-01-03 09:07:08,Blinkit,1,87,Hyderabad,Food,Positive,Low,Yes,In Stock,5,Correct
3010afb7-cd94-4189-a58a-0640c902e0fd,2025-01-03 09:23:40,JioMart,2,58,Pune,Essentials,Positive,Low,Yes,In Stock,4,Correct
fd087024-98fe-4cac-aa41-478f3d5000d3,2025-01-03 10:01:20,Blinkit,4,86,Chennai,Essentials,Neutral,Low,Yes,In Stock,1,Correct
d577cf46-25f4-40d8-a094-aaea29fb5a42,2025-01-03 10:11:54,JioMart,4,57,Pune,Grocery,Negative,Medium,No,In Stock,5,Correct
0f030420-4157-450d-b9de-da46d4564aac,2025-01-03 11:33:48,JioMart,3,37,Mumbai,Grocery,Positive,Medium,Yes,In Stock,1,Correct
8e6ca917-c08a-4676-947c-d3469e0e7dbd,2025-01-03 12:22:33,JioMart,2,34,Pune,Grocery,Negative,Low,Yes,In Stock,3,Correct
2ce8cdcb-2522-4248-9159-5b1bd40c3cb1,2025-01-03 12:57:06,Blinkit,4,16,Hyderabad,Food,Positive,High,No,In Stock,4,Correct
e30c4ff4-2151-4010-8146-2916e5e9e82e,2025-01-03 13:25:33,Swiggy Instamart,4,31,Chennai,Grocery,Positive,Low,Yes,In Stock,3,Correct
942f6175-ee6f-4868-a4d1-0dc09dc3ac18,2025-01-03 14:08:16,JioMart,2,10,Bangalore,Food,Positive,Low,No,In Stock,5,Correct
